category,mentions,denominator,mention_rate,denominator_definition,share_of_tag_mentions,cumulative_tag_share
gourmand_sweet,696,13859,0.05022007359838372,"text-eligible, non-promotional fragrance reviews",0.22329162656400384,0.22329162656400384
citrus_fresh,600,13859,0.04329316689515838,"text-eligible, non-promotional fragrance reviews",0.19249278152069296,0.4157844080846968
floral,430,13859,0.03102676960819684,"text-eligible, non-promotional fragrance reviews",0.13795316008982997,0.5537375681745268
musk_powdery,422,13859,0.03044952738292806,"text-eligible, non-promotional fragrance reviews",0.13538658966955405,0.6891241578440809
woody,310,13859,0.022368136229165163,"text-eligible, non-promotional fragrance reviews",0.09945460378569138,0.7885787616297723
fruity,193,13859,0.01392596868460928,"text-eligible, non-promotional fragrance reviews",0.06191851138915624,0.8504972730189285
spicy,133,13859,0.009596651995093441,"text-eligible, non-promotional fragrance reviews",0.04266923323708694,0.8931665062560155
amber_oriental,114,13859,0.008225701710080092,"text-eligible, non-promotional fragrance reviews",0.03657362848893166,0.9297401347449471
green_herbal,104,13859,0.00750414892849412,"text-eligible, non-promotional fragrance reviews",0.03336541546358678,0.9631055502085338
leather_tobacco,61,13859,0.004401471967674435,"text-eligible, non-promotional fragrance reviews",0.019570099454603786,0.9826756496631376
aquatic,54,13859,0.0038963850205642543,"text-eligible, non-promotional fragrance reviews",0.017324350336862367,1.0
